light,ax,ay,az,gx,gy,gz,label
102,0.2451,-0.0667,0.9276,-6.4087,-2.9907,-80.3833,shaky
102,0.0859,-0.0555,1.0664,11.1694,-25.9399,2.1362,shaky
102,0.1606,-0.0745,0.9916,-1.8921,18.0054,15.564,shaky
98,0.1715,-0.0214,1.0024,-25.8179,24.7803,-21.0571,shaky
96,0.3278,0.0066,0.9396,0.4272,1.8311,-13.855,shaky
97,0.1863,-0.0236,1.0116,-4.6387,-7.9956,11.9629,shaky
98,0.219,-0.0321,1.0131,2.6855,-9.3384,1.4648,shaky
99,0.2683,-0.0148,0.9996,0.6714,1.1597,0.7324,shaky
99,0.235,-0.0173,0.9703,2.5635,-1.77,0.4883,shaky
101,0.2261,-0.0365,0.9513,5.7373,-12.085,12.8784,shaky
97,0.1498,0.0449,1.0739,-52.8564,61.2183,-40.7104,shaky
97,0.2843,-0.0107,0.9448,15.2588,-29.9683,13.2446,shaky
99,0.2131,0.0419,0.9734,3.1128,2.7466,-5.7373,shaky
101,0.2223,-0.0283,0.9878,3.9062,3.1128,6.3477,shaky
101,0.2396,-0.0165,0.9977,-9.3994,0.1221,11.1084,shaky
99,0.1848,0.0254,1.0104,10.3149,-13.5498,1.709,shaky
102,0.1691,-0.0751,0.9896,5.3711,23.6816,-36.5601,shaky
101,0.2249,-0.0276,0.9655,-4.8828,-16.2354,-20.1416,shaky
101,0.2264,0.0177,0.9771,16.2354,9.3384,49.4385,shaky
103,0.1855,0.0154,0.9934,12.0239,-23.2544,6.7139,shaky
107,0.199,-0.0552,0.9802,-6.1035,68.6646,-13.7329,shaky
103,0.2351,-0.0608,0.9673,11.2915,-9.2773,15.686,shaky
100,0.3217,-0.0427,0.9664,-14.2212,29.7852,-7.1411,shaky
98,0.381,-0.0128,0.8966,-5.9204,-26.2451,-4.6387,shaky
98,0.2354,-0.0059,0.963,-4.0894,-19.3481,1.1597,shaky
98,0.2081,-0.0099,0.9924,14.9536,27.4658,11.1084,shaky
100,0.2559,-0.0256,0.947,8.8501,-10.5591,-19.165,shaky
100,0.2322,0.0079,1.0056,-1.2207,0.8545,17.4561,shaky
99,0.286,-0.068,0.962,1.8311,22.7661,5.9814,shaky
93,0.2091,0.1858,0.9967,11.3525,-13.0615,15.564,shaky
100,0.1389,0.0358,1.0427,2.2583,-3.7231,0.3662,shaky
100,0.2062,0.0189,0.9796,1.9531,28.8086,10.2539,shaky
100,0.2698,-0.031,0.9645,-3.6011,-18.4937,-21.0571,shaky
99,0.2151,-0.0521,1.0085,-1.4038,20.6299,19.165,shaky
99,0.2408,-0.0251,0.9995,-10.6201,6.2866,4.4556,shaky
100,0.2626,-0.0476,0.9672,-8.0566,-13.3057,-39.5508,shaky
100,0.1871,-0.0079,0.9884,-4.1504,2.8687,-1.2817,shaky
98,0.2242,0.0858,0.9712,-2.6855,-1.6479,13.1836,shaky
100,0.3351,0.0193,0.9402,-5.3711,22.2168,-8.1787,shaky
96,0.2535,-0.0031,0.9907,-4.0894,-13.1226,-10.1318,shaky
94,0.2703,0.0922,0.9794,-20.2637,12.9395,-6.897,shaky
95,0.2598,-0.0681,0.967,-8.3618,15.1978,26.9165,shaky
94,0.2856,0.104,0.9747,-12.8174,-11.0474,-4.4556,shaky
100,0.0055,0.0034,1.1492,-2.5635,19.7144,-13.6719,shaky
94,0.4229,0.025,0.818,-15.4419,40.8936,-20.5078,shaky
98,0.2084,-0.02,1.0005,12.5732,-54.2603,24.4751,shaky
101,0.2498,-0.085,0.9729,10.498,47.9126,3.479,shaky
104,0.4263,-0.0457,0.8385,-4.8828,-48.8281,-2.6245,shaky
102,0.1719,-0.035,1.0103,-3.0518,8.1177,-1.709,shaky
102,0.2206,-0.0002,0.9691,-1.709,2.2583,1.5869,shaky
102,0.2393,0.0005,0.9631,-2.5024,-0.7935,2.1362,shaky
103,0.1884,-0.0186,1.0122,0.3662,-0.3052,-3.418,shaky
105,0.2582,-0.0422,1.0055,6.5308,0.9766,-0.9766,shaky
103,0.2187,0.0234,0.9657,-0.1831,5.5542,1.6479,shaky
106,0.2264,-0.0381,0.9758,2.8687,8.9111,-8.9722,shaky
105,0.1984,-0.0179,1.035,-3.9673,9.8267,-10.2539,shaky
104,0.1521,0.0104,1.0367,-15.1367,-10.498,-14.5874,shaky
104,0.0032,0.0651,1.1877,-32.5317,10.0708,3.9673,shaky
109,0.2616,-0.0759,0.9073,12.8784,-58.4717,4.8218,shaky
111,0.3004,-0.0731,0.9435,15.7471,-8.3618,10.2539,shaky
110,0.3313,-0.0718,0.9255,-0.2441,62.6831,-6.2256,shaky
104,-0.0225,-0.0425,1.1833,-2.3804,-29.1138,-5.249,shaky
104,0.2191,-0.0002,0.9778,-3.479,-2.1973,1.4648,shaky
103,0.2317,-0.0203,0.9762,-1.709,9.5825,-1.0986,shaky
103,0.2678,0.0133,0.9738,0.4272,-9.8877,5.6152,shaky
103,0.2666,-0.0034,0.9723,-0.1831,0.9766,4.1504,shaky
102,0.1162,0.0022,0.9882,-32.5928,-81.7871,-42.5415,shaky
106,0.2424,-0.025,0.9659,13.4277,22.7051,14.6484,shaky
110,0.1968,0.0239,0.9711,4.1504,-4.0283,-11.5356,shaky
112,0.2397,-0.1052,0.9794,11.2305,32.3486,9.2163,shaky
108,0.3047,-0.0183,0.9362,0.1831,5.249,0.1221,shaky
106,0.2677,-0.0231,0.939,9.8267,-11.0474,40.1001,shaky
