light,ax,ay,az,gx,gy,gz,label
2060,0.1178,-0.0319,1.0181,-5.4932,-7.019,-47.8516,brightshaky
2062,0.0967,-0.0105,1.0017,-0.1221,-0.5493,1.77,brightshaky
2087,0.0955,-0.0021,1.0005,1.0376,1.8311,11.4746,brightshaky
2054,0.0963,-0.0042,1.0143,-0.2441,-4.5776,3.6011,brightshaky
2091,0.0553,0.0299,1.0077,3.2349,5.3101,40.7715,brightshaky
2087,0.1337,-0.0162,0.9888,-2.1973,-1.709,-16.4795,brightshaky
2049,0.0923,-0.0496,0.994,-4.9438,5.127,-49.0112,brightshaky
2039,0.0979,-0.0259,0.9941,-2.7466,-0.4272,-30.3955,brightshaky
2041,0.0989,-0.0093,1.0043,-0.3052,0.1221,-0.6104,brightshaky
2038,0.0997,-0.0107,0.9995,-0.3662,-0.9766,-1.8311,brightshaky
2060,0.0814,0.0143,1.0031,4.0894,3.9673,45.9595,brightshaky
2051,0.0808,-0.0508,0.9998,1.4038,11.4746,10.8032,brightshaky
2047,0.1091,-0.0103,1.0107,-0.7935,0.1221,-8.8501,brightshaky
2050,0.1346,-0.0154,0.9961,0.5493,0,7.5684,brightshaky
2042,0.1001,-0.0098,1.0084,-0.5493,2.1973,-0.6104,brightshaky
2026,0.0945,-0.0068,1.0029,-0.2441,0.4883,-1.2207,brightshaky
2046,0.0944,0.0015,1.0056,1.3428,0.8545,15.5029,brightshaky
2028,0.0615,-0.0068,0.998,-1.0376,2.5024,-8.2397,brightshaky
2042,0.1014,-0.0212,1.0078,0.1221,-3.54,5.9204,brightshaky
2063,0.0955,-0.0134,1.0078,1.3428,-0.7324,17.6392,brightshaky
2038,0.1141,-0.0162,1.0043,-1.77,-1.4038,-18.8599,brightshaky
2034,0.1052,-0.0121,0.9967,-0.3052,-1.77,0.4883,brightshaky
2060,0.095,-0.0247,1.007,0.5493,2.9907,5.7373,brightshaky
2045,0.1058,-0.0112,1.0015,-0.5493,-0.6104,-4.8218,brightshaky
2049,0.1072,-0.0077,0.9987,-0.2441,-1.4038,1.0986,brightshaky
2065,0.072,0.0001,1.0076,0.4272,1.4038,5.4321,brightshaky
